path,n_frames,has_event_gt,wrong_raw,wrong_corr,rule_saved,gt_16dist,raw_fall_missed,raw_fall_as_fallen,raw_fallen_missed,raw_fallen_as_fall,raw_lying_event_fp,raw_other_normal_fp,corr_fall_missed,corr_fall_as_fallen,corr_fallen_missed,corr_fallen_as_fall,corr_lying_event_fp,corr_other_normal_fp
fall/fall_yo_161,80,True,20,20,0,1:11 2:7 8:20 9:42,0,0,0,7,0,13,0,0,0,7,0,13
lie_down/lie_down_yo_194,80,False,20,20,0,5:80,0,0,0,0,20,0,0,0,0,0,20,0
sit_down/sit_down_to_133,80,False,20,20,0,3:44 4:36,0,0,0,0,0,20,0,0,0,0,0,20
fall/fall_mi_042,80,True,19,19,0,0:9 1:24 7:47,0,0,0,0,0,19,0,0,0,0,0,19
fall/fall_to_194,80,False,20,19,1,15:80,0,0,0,0,0,20,0,0,0,0,0,19
fallen/fallen_mi_039,80,True,19,19,0,1:21 2:31 7:28,0,0,0,6,0,13,0,0,0,6,0,13
fallen/fallen_mi_144,80,True,19,19,0,1:29 7:12 9:39,0,0,0,0,0,19,0,0,0,0,0,19
lie_down/lie_down_te_074,80,False,19,19,0,3:16 4:7 5:21 6:36,0,0,0,0,6,13,0,0,0,0,6,13
fall/fall_te_027,80,True,18,18,0,1:57 9:23,0,0,0,0,0,18,0,0,0,0,0,18
fall/fall_to_033,80,True,18,18,0,1:12 2:12 7:56,0,0,0,1,0,17,0,0,0,1,0,17
fall/fall_yo_041,80,True,18,18,0,1:19 2:45 7:16,0,0,0,10,0,8,0,0,0,10,0,8
fallen/fallen_ch_121,80,True,18,18,0,1:24 2:27 7:12 9:17,0,0,0,2,0,16,0,0,0,2,0,16
fallen/fallen_el_120,80,True,18,18,0,1:9 2:62 7:9,0,0,0,9,0,9,0,0,0,9,0,9
fallen/fallen_te_159,80,True,18,18,0,1:17 4:36 7:27,0,1,0,0,0,17,0,1,0,0,0,17
other/other_el_140,80,False,18,18,0,9:80,0,0,0,0,0,18,0,0,0,0,0,18
fall/fall_ch_189,80,True,17,17,0,1:27 2:13 9:40,0,0,0,3,0,14,0,0,0,3,0,14
fall/fall_mi_126,80,True,17,17,0,1:30 2:36 8:14,0,0,0,6,0,11,0,0,0,6,0,11
fall/fall_te_054,80,True,17,17,0,0:7 1:66 2:7,0,16,0,0,0,1,0,16,0,0,0,1
lie_down/lie_down_ch_097,80,False,17,17,0,5:23 6:57,0,0,0,0,17,0,0,0,0,0,17,0
lying/lying_ch_084,80,False,17,17,0,6:80,0,0,0,0,17,0,0,0,0,0,17,0
lying/lying_mi_013,80,False,17,17,0,6:80,0,0,0,0,17,0,0,0,0,0,17,0
other/other_to_101,80,False,60,17,43,9:80,0,0,0,0,0,60,0,0,0,0,0,17
fall/fall_ch_010,80,True,16,16,0,0:32 1:40 15:8,0,0,0,0,0,16,0,0,0,0,0,16
fall/fall_el_052,80,True,16,16,0,1:43 2:37,7,9,0,0,0,0,7,9,0,0,0,0
fall/fall_el_145,80,True,16,16,0,1:16 2:64,0,0,0,16,0,0,0,0,0,16,0,0
fall/fall_mi_045,80,True,16,16,0,1:6 2:74,0,0,3,13,0,0,0,0,3,13,0,0
fall/fall_to_079,80,True,16,16,0,0:16 1:22 2:42,0,0,0,13,0,3,0,0,0,13,0,3
fall/fall_yo_085,80,True,16,16,0,1:19 7:20 9:6 11:35,10,0,0,0,0,6,10,0,0,0,0,6
fallen/fallen_yo_024,80,True,16,16,0,1:9 2:71,0,0,0,16,0,0,0,0,0,16,0,0
fallen/fallen_yo_131,80,True,16,16,0,1:42 2:38,7,0,0,9,0,0,7,0,0,9,0,0
lie_down/lie_down_yo_106,80,False,16,16,0,5:51 6:29,0,0,0,0,16,0,0,0,0,0,16,0
lying/lying_to_131,80,False,16,16,0,6:80,0,0,0,0,16,0,0,0,0,0,16,0
stand_up/stand_up_te_069,80,False,16,16,0,7:79 8:1,0,0,0,0,0,16,0,0,0,0,0,16
standing/standing_el_021,80,False,16,16,0,8:80,0,0,0,0,0,16,0,0,0,0,0,16
fall/fall_ch_167,80,True,15,15,0,1:47 2:6 7:13 9:14,7,0,6,0,0,2,7,0,6,0,0,2
fall/fall_to_046,80,True,15,15,0,1:12 2:10 14:58,4,0,4,6,0,1,4,0,4,6,0,1
fall/fall_yo_164,80,True,15,15,0,1:20 4:45 9:15,2,0,0,0,0,13,2,0,0,0,0,13
fallen/fallen_to_185,80,True,15,15,0,0:5 1:29 2:46,0,4,6,0,0,5,0,4,6,0,0,5
lie_down/lie_down_el_016,80,False,15,15,0,5:66 6:14,0,0,0,0,15,0,0,0,0,0,15,0
sit_down/sit_down_to_008,80,False,15,15,0,3:49 4:31,0,0,0,0,0,15,0,0,0,0,0,15
fall/fall_te_123,80,True,14,14,0,1:66 2:14,0,0,0,14,0,0,0,0,0,14,0,0
fall/fall_te_146,80,True,14,14,0,1:60 4:20,0,0,0,0,0,14,0,0,0,0,0,14
fall/fall_to_088,80,True,14,14,0,0:24 1:8 7:15 11:12 14:12 15:9,0,0,0,0,0,14,0,0,0,0,0,14
fall/fall_to_199,80,True,14,14,0,1:66 2:14,0,0,0,14,0,0,0,0,0,14,0,0
fallen/fallen_ch_070,80,True,14,14,0,1:14 2:66,0,0,0,14,0,0,0,0,0,14,0,0
fallen/fallen_ch_108,80,True,14,14,0,1:18 4:52 9:10,0,0,0,0,0,14,0,0,0,0,0,14
fallen/fallen_te_028,80,True,14,14,0,1:13 2:56 7:11,0,0,0,3,0,11,0,0,0,3,0,11
fallen/fallen_te_092,80,True,14,14,0,1:21 2:36 7:23,0,0,0,3,0,11,0,0,0,3,0,11
lie_down/lie_down_ch_105,80,False,14,14,0,5:30 6:50,0,0,0,0,14,0,0,0,0,0,14,0
standing/standing_el_084,80,False,14,14,0,8:80,0,0,0,0,0,14,0,0,0,0,0,14
fall/fall_mi_010,80,True,13,13,0,1:80,13,0,0,0,0,0,13,0,0,0,0,0
fall/fall_mi_191,80,True,13,13,0,1:41 7:39,5,0,0,0,0,8,5,0,0,0,0,8
fallen/fallen_mi_197,80,True,13,13,0,1:19 4:61,13,0,0,0,0,0,13,0,0,0,0,0
fallen/fallen_to_074,80,True,13,13,0,2:80,0,0,13,0,0,0,0,0,13,0,0,0
fall/fall_mi_007,80,True,12,12,0,1:37 2:43,0,0,1,11,0,0,0,0,1,11,0,0
fall/fall_mi_073,80,True,12,12,0,1:50 2:30,4,7,0,1,0,0,4,7,0,1,0,0
fall/fall_to_054,80,True,12,12,0,0:33 1:11 7:36,1,0,0,0,0,11,1,0,0,0,0,11
fallen/fallen_ch_196,80,True,12,12,0,1:21 2:59,0,0,0,12,0,0,0,0,0,12,0,0
fallen/fallen_mi_045,80,True,12,12,0,1:27 2:53,0,0,0,12,0,0,0,0,0,12,0,0
fallen/fallen_mi_177,80,True,12,12,0,1:12 2:68,0,0,0,12,0,0,0,0,0,12,0,0
fallen/fallen_yo_088,80,True,12,12,0,1:14 2:66,0,0,0,12,0,0,0,0,0,12,0,0
lie_down/lie_down_ch_043,80,False,12,12,0,5:31 6:49,0,0,0,0,12,0,0,0,0,0,12,0
stand_up/stand_up_el_046,80,False,12,12,0,7:80,0,0,0,0,0,12,0,0,0,0,0,12
standing/standing_to_004,80,False,12,12,0,8:80,0,0,0,0,0,12,0,0,0,0,0,12
fall/fall_to_150,80,True,11,11,0,1:17 4:50 8:13,0,0,0,0,0,11,0,0,0,0,0,11
fallen/fallen_el_113,80,True,11,11,0,1:25 2:55,2,0,0,9,0,0,2,0,0,9,0,0
fallen/fallen_el_129,80,True,11,11,0,1:10 2:11 7:59,0,0,8,3,0,0,0,0,8,3,0,0
lie_down/lie_down_el_009,80,False,11,11,0,3:30 4:50,0,0,0,0,0,11,0,0,0,0,0,11
other/other_yo_128,80,False,11,11,0,9:80,0,0,0,0,0,11,0,0,0,0,0,11
sit_down/sit_down_el_112,80,False,11,11,0,3:36 4:44,0,0,0,0,0,11,0,0,0,0,0,11
fall/fall_el_001,80,True,10,10,0,1:41 2:39,6,2,0,2,0,0,6,2,0,2,0,0
fall/fall_mi_001,80,True,10,10,0,1:13 2:67,0,0,0,10,0,0,0,0,0,10,0,0
fall/fall_te_073,80,True,10,10,0,1:23 7:22 8:35,9,0,0,0,0,1,9,0,0,0,0,1
fall/fall_to_132,80,True,10,10,0,0:41 1:10 7:29,10,0,0,0,0,0,10,0,0,0,0,0
fall/fall_yo_123,80,True,10,10,0,1:29 2:51,6,0,0,4,0,0,6,0,0,4,0,0
fallen/fallen_ch_001,80,True,10,10,0,1:13 2:67,0,0,0,10,0,0,0,0,0,10,0,0
fallen/fallen_el_025,80,True,10,10,0,1:22 2:58,0,0,0,10,0,0,0,0,0,10,0,0
fallen/fallen_el_146,80,True,10,10,0,1:9 2:71,0,0,0,10,0,0,0,0,0,10,0,0
fallen/fallen_yo_067,80,True,10,10,0,1:19 2:61,0,1,8,1,0,0,0,1,8,1,0,0
lie_down/lie_down_te_117,80,False,10,10,0,5:23 6:57,0,0,0,0,10,0,0,0,0,0,10,0
sit_down/sit_down_mi_195,80,False,10,10,0,3:34 4:46,0,0,0,0,0,10,0,0,0,0,0,10
sit_down/sit_down_yo_179,80,False,10,10,0,3:39 4:41,0,0,0,0,0,10,0,0,0,0,0,10
sitting/sitting_mi_019,80,False,80,10,70,4:80,0,0,0,0,0,80,0,0,0,0,0,10
standing/standing_ch_156,80,False,10,10,0,8:80,0,0,0,0,0,10,0,0,0,0,0,10
fall/fall_mi_053,80,True,9,9,0,1:79 2:1,8,0,0,1,0,0,8,0,0,1,0,0
fall/fall_te_116,80,True,9,9,0,1:33 2:33 15:14,0,4,0,4,0,1,0,4,0,4,0,1
fall/fall_yo_050,80,True,9,9,0,1:38 2:42,0,0,0,9,0,0,0,0,0,9,0,0
fallen/fallen_ch_091,80,True,9,9,0,1:17 2:63,0,0,0,9,0,0,0,0,0,9,0,0
fallen/fallen_mi_048,80,True,9,9,0,1:15 4:40 7:25,0,0,0,0,0,9,0,0,0,0,0,9
fallen/fallen_mi_055,80,True,9,9,0,1:15 2:65,0,0,8,1,0,0,0,0,8,1,0,0
fallen/fallen_mi_070,80,True,9,9,0,1:13 2:67,0,0,0,9,0,0,0,0,0,9,0,0
fallen/fallen_te_125,80,True,9,9,0,1:16 2:64,5,3,0,1,0,0,8,0,0,1,0,0
fallen/fallen_to_144,80,True,9,9,0,1:10 2:70,3,0,0,6,0,0,3,0,0,6,0,0
fallen/fallen_yo_141,80,True,9,9,0,1:9 2:71,0,9,0,0,0,0,0,9,0,0,0,0
lie_down/lie_down_ch_123,80,False,9,9,0,5:28 6:52,0,0,0,0,9,0,0,0,0,0,9,0
fall/fall_el_120,80,True,8,8,0,1:11 7:28 8:41,0,0,0,0,0,8,0,0,0,0,0,8
fall/fall_to_024,80,True,8,8,0,1:80,8,0,0,0,0,0,8,0,0,0,0,0
fall/fall_yo_140,80,True,8,8,0,1:23 4:57,8,0,0,0,0,0,8,0,0,0,0,0
fallen/fallen_ch_144,80,True,8,8,0,1:17 2:63,0,0,8,0,0,0,0,0,8,0,0,0
fallen/fallen_el_097,80,True,8,8,0,1:12 2:68,0,0,0,8,0,0,0,0,0,8,0,0
fallen/fallen_te_189,80,True,8,8,0,1:17 2:63,0,0,0,8,0,0,0,0,0,8,0,0
fallen/fallen_to_038,80,True,8,8,0,1:10 2:70,0,0,0,8,0,0,0,0,0,8,0,0
lying/lying_te_105,80,False,80,8,72,6:80,0,0,0,0,80,0,0,0,0,0,8,0
stand_up/stand_up_ch_166,80,False,8,8,0,7:30 8:50,0,0,0,0,0,8,0,0,0,0,0,8
