[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] 窗口数据集: data/p9e1_frames (window=64, stride=16)
  训练视频: 2000 | 窗口: 4000 | 类权重 fall/fallen/normal: [1.336, 1.532, 0.132]
step 5350 | loss 0.0976 | fall/fallen/normal acc 0.837/0.956/0.986 | lr 1.00e-04
step 5400 | loss 0.1058 | fall/fallen/normal acc 0.885/0.903/0.987 | lr 1.00e-04
[VAL] step 5400 | f1 0.8555 | fallen prec 0.8462 rec 0.8253 | train_loss 0.1317
  [BEST] 新最优 f1=0.8555 → best_model.pt
step 5450 | loss 0.0449 | fall/fallen/normal acc 0.970/0.929/0.990 | lr 1.00e-04
step 5500 | loss 0.0952 | fall/fallen/normal acc 0.917/0.839/0.981 | lr 1.00e-04
step 5550 | loss 0.1017 | fall/fallen/normal acc 0.894/0.917/0.989 | lr 1.00e-04
step 5600 | loss 0.3141 | fall/fallen/normal acc 0.704/0.938/0.986 | lr 1.00e-04
step 5650 | loss 0.1931 | fall/fallen/normal acc 0.916/0.861/0.985 | lr 1.00e-04
step 5700 | loss 0.0812 | fall/fallen/normal acc 0.980/0.902/0.973 | lr 1.00e-04
step 5750 | loss 0.1006 | fall/fallen/normal acc 0.889/0.974/0.983 | lr 1.00e-04
step 5800 | loss 0.0677 | fall/fallen/normal acc 0.893/0.959/0.991 | lr 1.00e-04
step 5850 | loss 0.1579 | fall/fallen/normal acc 0.902/0.877/0.987 | lr 1.00e-04
step 5900 | loss 0.1307 | fall/fallen/normal acc 0.866/0.909/0.987 | lr 1.00e-04
step 5950 | loss 0.1386 | fall/fallen/normal acc 0.876/0.829/0.991 | lr 1.00e-04
step 6000 | loss 0.1267 | fall/fallen/normal acc 0.879/0.911/0.975 | lr 1.00e-04
[VAL] step 6000 | f1 0.8662 | fallen prec 0.8586 rec 0.8216 | train_loss 0.1294
  [BEST] 新最优 f1=0.8662 → best_model.pt
[EPOCH 3] 完成，已存 epoch_3_model.pt
step 6050 | loss 0.0355 | fall/fallen/normal acc 0.912/0.993/0.988 | lr 1.00e-04
step 6100 | loss 0.1125 | fall/fallen/normal acc 0.949/0.850/0.983 | lr 1.00e-04
step 6150 | loss 0.1225 | fall/fallen/normal acc 0.960/0.875/0.984 | lr 1.00e-04
step 6200 | loss 0.2995 | fall/fallen/normal acc 0.874/0.886/0.980 | lr 1.00e-04
step 6250 | loss 0.0747 | fall/fallen/normal acc 0.950/0.775/0.992 | lr 1.00e-04
step 6300 | loss 0.0859 | fall/fallen/normal acc 0.919/0.848/0.996 | lr 1.00e-04
step 6350 | loss 0.0478 | fall/fallen/normal acc 0.960/0.978/0.994 | lr 1.00e-04
step 6400 | loss 0.0671 | fall/fallen/normal acc 0.950/0.963/0.979 | lr 1.00e-04
step 6450 | loss 0.0562 | fall/fallen/normal acc 0.927/0.938/0.989 | lr 1.00e-04
step 6500 | loss 0.0391 | fall/fallen/normal acc 0.932/0.983/0.989 | lr 1.00e-04
step 6550 | loss 0.0737 | fall/fallen/normal acc 0.874/0.987/0.983 | lr 1.00e-04
step 6600 | loss 0.2318 | fall/fallen/normal acc 0.957/0.951/0.994 | lr 1.00e-04
[VAL] step 6600 | f1 0.8364 | fallen prec 0.7987 rec 0.7663 | train_loss 0.1038
step 6650 | loss 0.0454 | fall/fallen/normal acc 0.969/0.991/0.981 | lr 1.00e-04
step 6700 | loss 0.1614 | fall/fallen/normal acc 0.863/0.907/0.978 | lr 1.00e-04
step 6750 | loss 0.1130 | fall/fallen/normal acc 0.898/0.939/0.986 | lr 1.00e-04
step 6800 | loss 0.1839 | fall/fallen/normal acc 0.817/0.885/0.991 | lr 1.00e-04
step 6850 | loss 0.0781 | fall/fallen/normal acc 0.853/0.986/0.976 | lr 1.00e-04
step 6900 | loss 0.0884 | fall/fallen/normal acc 0.908/0.955/0.976 | lr 1.00e-04
step 6950 | loss 0.0707 | fall/fallen/normal acc 0.955/0.929/0.985 | lr 1.00e-04
step 7000 | loss 0.0678 | fall/fallen/normal acc 0.907/0.862/0.996 | lr 1.00e-04
step 7050 | loss 0.1185 | fall/fallen/normal acc 0.933/0.911/0.983 | lr 1.00e-04
step 7100 | loss 0.0388 | fall/fallen/normal acc 0.960/0.978/0.996 | lr 1.00e-04
step 7150 | loss 0.0287 | fall/fallen/normal acc 0.982/0.954/0.995 | lr 1.00e-04
step 7200 | loss 0.0817 | fall/fallen/normal acc 0.947/0.916/0.976 | lr 1.00e-04
[VAL] step 7200 | f1 0.7929 | fallen prec 0.8444 rec 0.5338 | train_loss 0.0897
step 7250 | loss 0.0468 | fall/fallen/normal acc 0.953/0.974/0.984 | lr 1.00e-04
step 7300 | loss 0.0910 | fall/fallen/normal acc 0.971/0.878/0.992 | lr 1.00e-04
step 7350 | loss 0.0749 | fall/fallen/normal acc 0.915/0.945/0.992 | lr 1.00e-04
step 7400 | loss 0.1159 | fall/fallen/normal acc 0.874/0.953/0.986 | lr 1.00e-04
step 7450 | loss 0.0921 | fall/fallen/normal acc 0.927/0.886/0.982 | lr 1.00e-04
step 7500 | loss 0.1075 | fall/fallen/normal acc 0.835/0.958/0.986 | lr 1.00e-04
step 7550 | loss 0.1766 | fall/fallen/normal acc 0.964/0.943/0.996 | lr 1.00e-04
step 7600 | loss 0.0767 | fall/fallen/normal acc 0.951/0.931/0.991 | lr 1.00e-04
step 7650 | loss 0.0952 | fall/fallen/normal acc 0.887/0.928/0.991 | lr 1.00e-04
step 7700 | loss 0.0955 | fall/fallen/normal acc 0.962/0.916/0.970 | lr 1.00e-04
step 7750 | loss 0.0547 | fall/fallen/normal acc 0.961/1.000/0.971 | lr 1.00e-04
step 7800 | loss 0.2510 | fall/fallen/normal acc 0.878/0.812/0.977 | lr 1.00e-04
[VAL] step 7800 | f1 0.7898 | fallen prec 0.8956 rec 0.5486 | train_loss 0.1065
step 7850 | loss 0.1815 | fall/fallen/normal acc 0.906/0.812/0.997 | lr 1.00e-04
step 7900 | loss 0.1741 | fall/fallen/normal acc 0.910/0.904/0.968 | lr 1.00e-04
step 7950 | loss 0.0574 | fall/fallen/normal acc 0.974/0.862/0.987 | lr 1.00e-04
step 8000 | loss 0.1386 | fall/fallen/normal acc 0.956/0.965/0.983 | lr 1.00e-04
[EPOCH 4] 完成，已存 epoch_4_model.pt
step 8050 | loss 0.0112 | fall/fallen/normal acc 0.980/1.000/0.995 | lr 1.00e-04
step 8100 | loss 0.0499 | fall/fallen/normal acc 0.974/0.925/0.991 | lr 1.00e-04
step 8150 | loss 0.0594 | fall/fallen/normal acc 0.850/0.982/0.990 | lr 1.00e-04
step 8200 | loss 0.1268 | fall/fallen/normal acc 0.937/0.881/0.981 | lr 1.00e-04
step 8250 | loss 0.0631 | fall/fallen/normal acc 0.961/0.938/0.991 | lr 1.00e-04
step 8300 | loss 0.0708 | fall/fallen/normal acc 0.947/0.971/0.984 | lr 1.00e-04
step 8350 | loss 0.0928 | fall/fallen/normal acc 0.919/0.942/0.976 | lr 1.00e-04
step 8400 | loss 0.0551 | fall/fallen/normal acc 0.942/0.993/0.981 | lr 1.00e-04
[VAL] step 8400 | f1 0.8299 | fallen prec 0.8367 rec 0.8130 | train_loss 0.0661
step 8450 | loss 0.0579 | fall/fallen/normal acc 0.970/0.925/0.984 | lr 1.00e-04
step 8500 | loss 0.1134 | fall/fallen/normal acc 0.896/0.974/0.979 | lr 1.00e-04
step 8550 | loss 0.0223 | fall/fallen/normal acc 0.963/0.972/0.996 | lr 1.00e-04
step 8600 | loss 0.1078 | fall/fallen/normal acc 0.909/0.984/0.986 | lr 1.00e-04
step 8650 | loss 0.0456 | fall/fallen/normal acc 0.953/0.975/0.990 | lr 1.00e-04
step 8700 | loss 0.0595 | fall/fallen/normal acc 0.946/0.966/0.994 | lr 1.00e-04
step 8750 | loss 0.0503 | fall/fallen/normal acc 0.993/0.909/0.997 | lr 1.00e-04
step 8800 | loss 0.0261 | fall/fallen/normal acc 0.983/0.988/0.987 | lr 1.00e-04
step 8850 | loss 0.0370 | fall/fallen/normal acc 0.960/0.963/0.996 | lr 1.00e-04
step 8900 | loss 0.0449 | fall/fallen/normal acc 0.966/0.951/0.987 | lr 1.00e-04
step 8950 | loss 0.1160 | fall/fallen/normal acc 0.910/0.870/0.986 | lr 1.00e-04
step 9000 | loss 0.0217 | fall/fallen/normal acc 0.966/0.978/0.999 | lr 1.00e-04
[VAL] step 9000 | f1 0.7844 | fallen prec 0.7888 rec 0.6384 | train_loss 0.0585
step 9050 | loss 0.0335 | fall/fallen/normal acc 0.993/0.917/0.995 | lr 1.00e-04
step 9100 | loss 0.0513 | fall/fallen/normal acc 0.934/0.965/0.985 | lr 1.00e-04
step 9150 | loss 0.0836 | fall/fallen/normal acc 0.949/0.987/0.970 | lr 1.00e-04
step 9200 | loss 0.0603 | fall/fallen/normal acc 0.978/0.936/0.985 | lr 1.00e-04
step 9250 | loss 0.1384 | fall/fallen/normal acc 0.926/0.974/0.979 | lr 1.00e-04
step 9300 | loss 0.1008 | fall/fallen/normal acc 0.927/0.897/0.985 | lr 1.00e-04
step 9350 | loss 0.0898 | fall/fallen/normal acc 0.941/0.977/0.992 | lr 1.00e-04
step 9400 | loss 0.0659 | fall/fallen/normal acc 0.919/0.987/0.995 | lr 1.00e-04
step 9450 | loss 0.0339 | fall/fallen/normal acc 0.982/0.947/0.984 | lr 1.00e-04
step 9500 | loss 0.0436 | fall/fallen/normal acc 0.992/0.965/0.994 | lr 1.00e-04
step 9550 | loss 0.0851 | fall/fallen/normal acc 0.939/0.936/0.995 | lr 1.00e-04
step 9600 | loss 0.0543 | fall/fallen/normal acc 0.961/0.967/0.985 | lr 1.00e-04
[VAL] step 9600 | f1 0.8618 | fallen prec 0.8584 rec 0.8426 | train_loss 0.0700
step 9650 | loss 0.0614 | fall/fallen/normal acc 0.895/0.923/0.989 | lr 1.00e-04
step 9700 | loss 0.0264 | fall/fallen/normal acc 0.959/0.986/0.988 | lr 1.00e-04
step 9750 | loss 0.0404 | fall/fallen/normal acc 0.993/0.938/0.997 | lr 1.00e-04
step 9800 | loss 0.0336 | fall/fallen/normal acc 0.957/1.000/0.994 | lr 1.00e-04
step 9850 | loss 0.0348 | fall/fallen/normal acc 0.981/0.927/0.993 | lr 1.00e-04
step 9900 | loss 0.0593 | fall/fallen/normal acc 0.962/0.973/0.998 | lr 1.00e-04
step 9950 | loss 0.0559 | fall/fallen/normal acc 0.926/0.990/0.991 | lr 1.00e-04
step 10000 | loss 0.0438 | fall/fallen/normal acc 0.981/0.979/0.985 | lr 1.00e-04
[EPOCH 5] 完成，已存 epoch_5_model.pt
[DONE] 已存 last_model.pt
[TOTAL] 10000 步, 52862.6s
