== launch Mon Sep  7 21:50:14 CST 2026 E1@6000 ep4 ==
PID=210342
WATCHDOG: pid 210342 exited rc=127 at Mon Sep  7 21:50:14 CST 2026
[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Loading weights:   0%|          | 0/727 [00:00<?, ?it/s]Loading weights:  65%|██████▍   | 469/727 [00:00<00:00, 4666.05it/s]Loading weights: 100%|██████████| 727/727 [00:00<00:00, 4144.50it/s]
/root/miniconda3/lib/python3.10/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] mp4 现解码数据集: data/e1_6000_manifest.csv (window=64, stride=16, workers=16)
  训练视频: 6000 | 窗口: 12000 | 类权重 fall/fallen/normal: [1.342, 1.526, 0.133]
step 2900 | loss 0.4063 | fall/fallen/normal acc 0.668/0.578/0.974 | lr 1.00e-04
step 2950 | loss 0.2584 | fall/fallen/normal acc 0.862/0.815/0.950 | lr 1.00e-04
step 3000 | loss 0.5334 | fall/fallen/normal acc 0.897/0.504/0.964 | lr 1.00e-04
[VAL] step 3000 | f1 0.7203 | fallen prec 0.9312 rec 0.4509 | train_loss 0.3692
step 3050 | loss 0.2704 | fall/fallen/normal acc 0.943/0.194/0.979 | lr 1.00e-04
step 3100 | loss 0.3273 | fall/fallen/normal acc 0.541/0.831/0.966 | lr 1.00e-04
step 3150 | loss 0.4715 | fall/fallen/normal acc 0.744/0.478/0.971 | lr 1.00e-04
step 3200 | loss 0.1072 | fall/fallen/normal acc 0.904/0.794/0.966 | lr 1.00e-04
step 3250 | loss 0.6560 | fall/fallen/normal acc 0.864/0.656/0.966 | lr 1.00e-04
step 3300 | loss 0.5715 | fall/fallen/normal acc 0.809/0.408/0.945 | lr 1.00e-04
step 3350 | loss 0.3646 | fall/fallen/normal acc 0.853/0.693/0.933 | lr 1.00e-04
step 3400 | loss 0.5163 | fall/fallen/normal acc 0.816/0.503/0.941 | lr 1.00e-04
step 3450 | loss 0.3632 | fall/fallen/normal acc 0.611/0.822/0.961 | lr 1.00e-04
step 3500 | loss 0.5888 | fall/fallen/normal acc 0.921/0.351/0.954 | lr 1.00e-04
step 3550 | loss 0.3479 | fall/fallen/normal acc 0.472/0.809/0.967 | lr 1.00e-04
step 3600 | loss 0.3058 | fall/fallen/normal acc 0.913/0.476/0.972 | lr 1.00e-04
[VAL] step 3600 | f1 0.8555 | fallen prec 0.8288 rec 0.8236 | train_loss 0.4075
  [BEST] 新最优 f1=0.8555 → best_model.pt
step 3650 | loss 0.7077 | fall/fallen/normal acc 0.653/0.598/0.937 | lr 1.00e-04
step 3700 | loss 0.2954 | fall/fallen/normal acc 0.684/0.792/0.949 | lr 1.00e-04
step 3750 | loss 0.3307 | fall/fallen/normal acc 0.707/0.324/0.978 | lr 1.00e-04
step 3800 | loss 0.4466 | fall/fallen/normal acc 0.820/0.747/0.943 | lr 1.00e-04
step 3850 | loss 0.2937 | fall/fallen/normal acc 0.785/0.659/0.969 | lr 1.00e-04
step 3900 | loss 0.2896 | fall/fallen/normal acc 0.652/0.769/0.977 | lr 1.00e-04
step 3950 | loss 0.3291 | fall/fallen/normal acc 0.544/0.928/0.934 | lr 1.00e-04
step 4000 | loss 0.4160 | fall/fallen/normal acc 0.712/0.726/0.939 | lr 1.00e-04
step 4050 | loss 0.4044 | fall/fallen/normal acc 0.778/0.692/0.936 | lr 1.00e-04
step 4100 | loss 0.3491 | fall/fallen/normal acc 0.640/0.804/0.957 | lr 1.00e-04
step 4150 | loss 0.5044 | fall/fallen/normal acc 0.731/0.776/0.992 | lr 1.00e-04
step 4200 | loss 0.3431 | fall/fallen/normal acc 0.892/0.452/0.976 | lr 1.00e-04
[VAL] step 4200 | f1 0.8386 | fallen prec 0.8072 rec 0.9271 | train_loss 0.3925
step 4250 | loss 0.3590 | fall/fallen/normal acc 0.675/0.711/0.979 | lr 1.00e-04
step 4300 | loss 0.2951 | fall/fallen/normal acc 0.746/0.760/0.959 | lr 1.00e-04
step 4350 | loss 0.2895 | fall/fallen/normal acc 0.694/0.817/0.970 | lr 1.00e-04
step 4400 | loss 0.6032 | fall/fallen/normal acc 0.593/0.750/0.951 | lr 1.00e-04
step 4450 | loss 0.2099 | fall/fallen/normal acc 0.719/0.855/0.981 | lr 1.00e-04
step 4500 | loss 0.4169 | fall/fallen/normal acc 0.519/0.886/0.960 | lr 1.00e-04
step 4550 | loss 0.5642 | fall/fallen/normal acc 0.622/0.371/0.950 | lr 1.00e-04
step 4600 | loss 0.1522 | fall/fallen/normal acc 0.951/0.738/0.955 | lr 1.00e-04
step 4650 | loss 0.3814 | fall/fallen/normal acc 0.721/0.397/0.967 | lr 1.00e-04
step 4700 | loss 0.3023 | fall/fallen/normal acc 0.673/0.639/0.990 | lr 1.00e-04
step 4750 | loss 0.6280 | fall/fallen/normal acc 0.664/0.449/0.967 | lr 1.00e-04
step 4800 | loss 0.3785 | fall/fallen/normal acc 0.641/0.735/0.981 | lr 1.00e-04
[VAL] step 4800 | f1 0.8055 | fallen prec 0.9007 rec 0.7345 | train_loss 0.3817
step 4850 | loss 0.3200 | fall/fallen/normal acc 0.860/0.716/0.943 | lr 1.00e-04
step 4900 | loss 0.4366 | fall/fallen/normal acc 0.630/0.534/0.950 | lr 1.00e-04
step 4950 | loss 0.2379 | fall/fallen/normal acc 0.770/0.911/0.944 | lr 1.00e-04
step 5000 | loss 0.1942 | fall/fallen/normal acc 0.862/0.723/0.987 | lr 1.00e-04
step 5050 | loss 0.3221 | fall/fallen/normal acc 0.652/0.840/0.973 | lr 1.00e-04
step 5100 | loss 0.3424 | fall/fallen/normal acc 0.782/0.731/0.938 | lr 1.00e-04
step 5150 | loss 0.3933 | fall/fallen/normal acc 0.562/0.761/0.965 | lr 1.00e-04
step 5200 | loss 0.3215 | fall/fallen/normal acc 0.628/0.511/0.959 | lr 1.00e-04
step 5250 | loss 0.2575 | fall/fallen/normal acc 0.586/0.882/0.966 | lr 1.00e-04
step 5300 | loss 0.2290 | fall/fallen/normal acc 0.869/0.763/0.962 | lr 1.00e-04
step 5350 | loss 0.3456 | fall/fallen/normal acc 0.796/0.826/0.958 | lr 1.00e-04
step 5400 | loss 0.2215 | fall/fallen/normal acc 0.661/0.842/0.963 | lr 1.00e-04
[VAL] step 5400 | f1 0.8530 | fallen prec 0.8789 rec 0.8821 | train_loss 0.3018
step 5450 | loss 0.0786 | fall/fallen/normal acc 0.893/0.891/0.989 | lr 1.00e-04
step 5500 | loss 0.4100 | fall/fallen/normal acc 0.769/0.779/0.965 | lr 1.00e-04
step 5550 | loss 0.3860 | fall/fallen/normal acc 0.815/0.712/0.944 | lr 1.00e-04
step 5600 | loss 0.3959 | fall/fallen/normal acc 0.809/0.790/0.961 | lr 1.00e-04
step 5650 | loss 0.6552 | fall/fallen/normal acc 0.676/0.592/0.978 | lr 1.00e-04
step 5700 | loss 0.2967 | fall/fallen/normal acc 0.743/0.834/0.976 | lr 1.00e-04
step 5750 | loss 0.4970 | fall/fallen/normal acc 0.634/0.721/0.947 | lr 1.00e-04
step 5800 | loss 0.2507 | fall/fallen/normal acc 0.737/0.862/0.949 | lr 1.00e-04
step 5850 | loss 0.4402 | fall/fallen/normal acc 0.815/0.570/0.957 | lr 1.00e-04
step 5900 | loss 0.4295 | fall/fallen/normal acc 0.710/0.610/0.944 | lr 1.00e-04
step 5950 | loss 0.1918 | fall/fallen/normal acc 0.823/0.941/0.946 | lr 1.00e-04
step 6000 | loss 0.3036 | fall/fallen/normal acc 0.802/0.781/0.966 | lr 1.00e-04
[VAL] step 6000 | f1 0.8297 | fallen prec 0.9279 rec 0.7534 | train_loss 0.3613
[EPOCH 1] 完成，已存 epoch_1_model.pt
step 6050 | loss 0.1983 | fall/fallen/normal acc 0.910/0.856/0.967 | lr 1.00e-04
step 6100 | loss 0.1908 | fall/fallen/normal acc 0.890/0.679/0.979 | lr 1.00e-04
step 6150 | loss 0.2593 | fall/fallen/normal acc 0.927/0.704/0.987 | lr 1.00e-04
step 6200 | loss 0.2947 | fall/fallen/normal acc 0.800/0.854/0.947 | lr 1.00e-04
step 6250 | loss 0.1823 | fall/fallen/normal acc 0.956/0.727/0.974 | lr 1.00e-04
step 6300 | loss 0.1394 | fall/fallen/normal acc 0.771/0.853/0.999 | lr 1.00e-04
step 6350 | loss 0.3177 | fall/fallen/normal acc 0.743/0.863/0.929 | lr 1.00e-04
step 6400 | loss 0.5536 | fall/fallen/normal acc 0.693/0.347/0.971 | lr 1.00e-04
step 6450 | loss 0.2652 | fall/fallen/normal acc 0.781/0.580/0.960 | lr 1.00e-04
step 6500 | loss 0.2322 | fall/fallen/normal acc 0.864/0.743/0.960 | lr 1.00e-04
step 6550 | loss 0.1574 | fall/fallen/normal acc 0.894/0.837/0.979 | lr 1.00e-04
step 6600 | loss 0.1720 | fall/fallen/normal acc 0.966/0.478/0.989 | lr 1.00e-04
[VAL] step 6600 | f1 0.7334 | fallen prec 0.9463 rec 0.4599 | train_loss 0.2469
step 6650 | loss 0.3266 | fall/fallen/normal acc 0.807/0.670/0.978 | lr 1.00e-04
step 6700 | loss 0.0954 | fall/fallen/normal acc 0.889/0.889/0.973 | lr 1.00e-04
step 6750 | loss 0.0950 | fall/fallen/normal acc 0.884/0.701/0.976 | lr 1.00e-04
step 6800 | loss 0.4582 | fall/fallen/normal acc 0.787/0.711/0.948 | lr 1.00e-04
step 6850 | loss 0.3221 | fall/fallen/normal acc 0.706/0.608/0.973 | lr 1.00e-04
step 6900 | loss 0.2011 | fall/fallen/normal acc 0.806/0.772/0.988 | lr 1.00e-04
step 6950 | loss 0.2309 | fall/fallen/normal acc 0.826/0.877/0.966 | lr 1.00e-04
step 7000 | loss 0.1716 | fall/fallen/normal acc 0.850/0.890/0.978 | lr 1.00e-04
step 7050 | loss 0.3529 | fall/fallen/normal acc 0.730/0.711/0.967 | lr 1.00e-04
step 7100 | loss 0.1389 | fall/fallen/normal acc 0.863/0.920/0.965 | lr 1.00e-04
step 7150 | loss 0.1001 | fall/fallen/normal acc 0.922/0.832/0.997 | lr 1.00e-04
step 7200 | loss 0.4147 | fall/fallen/normal acc 0.833/0.695/0.943 | lr 1.00e-04
[VAL] step 7200 | f1 0.8616 | fallen prec 0.8752 rec 0.8839 | train_loss 0.2423
  [BEST] 新最优 f1=0.8616 → best_model.pt
step 7250 | loss 0.1527 | fall/fallen/normal acc 0.765/0.840/0.986 | lr 1.00e-04
step 7300 | loss 0.4677 | fall/fallen/normal acc 0.730/0.599/0.969 | lr 1.00e-04
step 7350 | loss 0.2562 | fall/fallen/normal acc 0.810/0.747/0.986 | lr 1.00e-04
step 7400 | loss 0.2053 | fall/fallen/normal acc 0.873/0.584/0.961 | lr 1.00e-04
step 7450 | loss 0.2921 | fall/fallen/normal acc 0.699/0.851/0.960 | lr 1.00e-04
step 7500 | loss 0.1766 | fall/fallen/normal acc 0.747/0.926/0.985 | lr 1.00e-04
step 7550 | loss 0.2043 | fall/fallen/normal acc 0.719/0.731/0.961 | lr 1.00e-04
step 7600 | loss 0.3528 | fall/fallen/normal acc 0.819/0.690/0.960 | lr 1.00e-04
step 7650 | loss 0.1891 | fall/fallen/normal acc 0.921/0.750/0.988 | lr 1.00e-04
step 7700 | loss 0.2192 | fall/fallen/normal acc 0.798/0.752/0.969 | lr 1.00e-04
step 7750 | loss 0.2442 | fall/fallen/normal acc 0.883/0.596/0.979 | lr 1.00e-04
step 7800 | loss 0.2381 | fall/fallen/normal acc 0.804/0.793/0.972 | lr 1.00e-04
[VAL] step 7800 | f1 0.8267 | fallen prec 0.8348 rec 0.7597 | train_loss 0.2499
step 7850 | loss 0.1670 | fall/fallen/normal acc 0.780/0.803/0.983 | lr 1.00e-04
step 7900 | loss 0.1211 | fall/fallen/normal acc 0.855/0.974/0.974 | lr 1.00e-04
step 7950 | loss 0.1192 | fall/fallen/normal acc 0.906/0.779/0.976 | lr 1.00e-04
step 8000 | loss 0.1455 | fall/fallen/normal acc 0.824/0.953/0.965 | lr 1.00e-04
step 8050 | loss 0.2205 | fall/fallen/normal acc 0.833/0.758/0.980 | lr 1.00e-04
